bandwidth,latency,packet_loss,traffic_load,failure
776.22,65.15,8.22,14.34,0
444.49,169.24,13.35,81.03,1
860.01,226.91,9.13,70.49,0
700.39,77.97,15.07,53.03,0
103.24,248.21,0.63,37.44,0
975.87,278.32,2.88,66.85,0
763.53,179.62,12.28,81.29,0
788.2,201.02,4.65,88.12,0
136.83,16.72,13.32,54.7,1
455.88,283.71,7.02,81.99,0
377.09,118.35,17.73,51.13,1
927.5,277.25,16.39,47.45,0
647.43,174.11,9.86,86.54,1
824.53,2.38,15.46,38.64,0
448.98,12.52,5.42,39.59,0
234.97,204.45,9.89,30.49,0
559.04,169.24,3.95,51.87,0
73.18,8.93,17.22,54.49,1
829.35,223.29,16.46,66.05,1
635.35,255.79,18.04,43.05,1
760.51,149.43,17.55,21.78,1
360.98,140.26,19.19,86.68,1
970.99,2.64,4.57,34.6,0
894.19,236.21,18.64,92.29,1
780.6,99.88,11.42,20.74,0
202.69,263.75,8.45,56.01,1
472.05,112.55,11.21,53.66,0
53.37,169.96,6.85,82.86,1
162.75,81.83,5.77,13.89,0
686.22,49.02,4.83,90.99,0
747.31,232.7,1.65,53.14,0
967.83,149.48,9.93,58.61,0
332.57,161.41,17.76,51.02,1
376.76,289.66,12.6,3.6,1
474.86,289.11,10.42,49.71,1
197.58,256.84,8.57,26.35,1
138.62,57.1,9.29,34.27,1
480.95,178.69,4.19,64.91,1
234.64,263.57,16.46,49.77,1
673.12,112.96,3.97,9.32,0
442.78,31.23,14.33,7.3,0
834.35,243.48,15.2,18.57,0
703.26,145.05,11.5,19.09,0
319.24,169.75,17.26,60.83,1
833.94,294.66,5.82,17.78,0
806.72,182.56,17.63,88.17,1
393.6,128.07,14.59,20.98,0
295.44,111.63,15.97,9.11,0
685.67,125.87,13.29,87.57,1
148.35,36.4,16.93,29.53,1
207.91,238.63,19.86,42.54,1
17.29,251.48,8.4,95.9,1
789.06,86.03,16.28,94.44,0
668.2,91.84,14.89,71.49,0
708.11,262.43,9.06,6.89,0
782.92,8.17,18.54,59.33,0
464.33,156.62,7.89,98.91,0
573.05,139.64,11.31,94.69,0
148.4,207.35,2.12,10.6,0
123.38,49.85,4.52,39.6,0
671.72,200.83,16.81,31.55,1
476.39,113.64,7.93,12.97,0
569.58,186.0,7.88,69.48,0
767.35,12.99,4.92,27.38,0
638.37,139.06,9.83,34.49,0
558.04,157.15,16.12,9.04,0
563.62,65.08,17.9,49.8,1
310.91,42.75,1.4,15.82,0
40.51,57.35,11.5,43.21,1
442.35,103.9,9.35,14.33,0
222.44,29.95,12.29,95.38,0
414.44,284.25,8.95,14.5,1
854.87,122.09,7.97,52.19,0
241.6,242.88,9.44,19.7,1
67.72,292.35,11.64,7.64,1
288.57,25.14,10.02,20.23,0
300.66,195.85,9.44,5.48,1
665.3,261.55,16.36,13.94,1
561.46,190.64,14.91,49.35,0
786.06,129.28,6.83,65.18,0
667.67,129.89,16.01,8.73,0
412.32,11.73,17.07,44.1,0
815.88,160.85,3.07,58.12,0
175.3,298.07,11.65,23.42,1
32.48,287.65,5.71,37.21,1
99.15,13.08,14.78,7.18,1
725.14,212.03,4.78,22.01,0
467.26,91.23,13.43,46.68,0
169.66,270.99,5.1,99.04,1
506.03,14.49,10.22,99.63,0
160.79,280.83,18.97,97.96,1
699.36,251.41,7.63,42.31,1
451.69,36.13,17.51,8.07,1
387.21,18.89,19.74,32.36,1
308.5,250.58,17.5,23.77,1
633.98,47.57,3.32,1.41,0
368.19,160.93,16.39,9.52,0
96.77,274.81,0.64,45.32,1
126.83,170.67,7.87,33.97,1
962.28,119.77,17.41,18.04,1
909.49,134.06,13.78,71.61,1
702.71,19.87,10.65,35.71,0
273.21,290.66,7.76,85.19,1
969.48,93.89,16.25,24.1,0
780.96,57.62,14.19,53.84,0
719.72,86.53,9.37,18.41,0
454.87,289.35,17.85,49.53,1
279.52,29.19,4.6,15.25,0
105.43,260.32,3.41,16.16,1
903.58,212.65,12.86,61.22,0
461.22,249.18,19.44,26.38,1
210.34,292.79,4.95,17.24,1
312.9,252.8,4.99,92.98,0
583.43,283.07,2.79,4.3,0
185.01,38.95,17.21,56.51,1
858.05,238.94,4.53,54.83,0
760.93,164.16,10.06,25.06,0
722.27,163.51,19.82,45.28,1
437.77,269.78,0.24,8.77,0
631.04,291.57,11.13,72.13,1
588.26,211.75,10.25,22.17,0
653.35,145.4,16.15,19.34,0
93.6,137.46,7.11,31.49,0
421.65,116.52,8.21,90.24,0
51.2,109.12,3.36,79.65,0
499.05,118.06,14.82,94.69,0
336.56,27.84,15.69,65.2,0
153.08,24.15,2.73,66.29,0
112.37,234.18,7.87,48.0,1
591.77,134.38,17.86,90.52,0
178.89,279.27,0.05,51.09,0
925.87,184.05,5.98,35.51,0
585.25,11.52,11.1,64.04,0
353.4,48.1,6.68,54.61,0
595.01,62.54,5.44,12.4,0
32.58,292.75,9.2,39.27,1
958.97,66.39,3.63,31.33,0
487.48,155.21,10.59,84.68,1
784.91,280.92,14.13,37.88,0
91.9,293.18,11.51,82.16,1
491.79,71.67,1.86,44.24,0
495.8,15.69,16.89,75.35,1
938.45,46.93,3.5,13.53,0
576.01,19.94,15.3,92.47,1
